iteration,beta
100,1.00076258
200,0.82596660
300,0.66719508
400,0.55226803
500,0.50374734
600,0.47655067
700,0.45838600
800,0.44529882
900,0.43534029
1000,0.42765722
1100,0.42134827
1200,0.41635299
1300,0.41195092
1400,0.40821832
1500,0.40514052
1600,0.40216672
1700,0.39951622
1800,0.39739579
1900,0.39510518
2000,0.39301851
2100,0.39149758
2200,0.38957873
2300,0.38782740
2400,0.38618660
2500,0.38516718
2600,0.38357994
2700,0.38209885
2800,0.38068640
2900,0.37992525
3000,0.37847102
3100,0.37711862
3200,0.37581694
3300,0.37512952
3400,0.37380069
3500,0.37254182
3600,0.37163329
3700,0.37090769
3800,0.36966538
3900,0.36850035
4000,0.36739627
4100,0.36705840
4200,0.36592287
4300,0.36487871
4400,0.36497834
4500,0.36381349
4600,0.36281461
4700,0.36192182
4800,0.36202803
4900,0.36108485
5000,0.36024675
5100,0.36018088
5200,0.35966051
5300,0.35888532
5400,0.35825002
5500,0.35864955
5600,0.35790205
5700,0.35733727
5800,0.35686156
5900,0.35762483
6000,0.35694781
6100,0.35648555
6200,0.35613579
6300,0.35715646
6400,0.35626513
6500,0.35587400
6600,0.35562009
6700,0.35616624
6800,0.35575226
6900,0.35556024
7000,0.35732910
7100,0.35587609
7200,0.35555130
7300,0.35540411
7400,0.35534152
7500,0.35534003
7600,0.35541612
7700,0.35643268
7800,0.35613671
7900,0.35614520
8000,0.35704896
8100,0.35660079
8200,0.35660934
8300,0.35740253
8400,0.35694116
8500,0.35698268
8600,0.35877240
8700,0.35772932
8800,0.35773149
8900,0.35795629
9000,0.35851642
9100,0.35828954
9200,0.35872927
9300,0.35876718
9400,0.35886949
9500,0.35897583
9600,0.36049488
9700,0.35974279
9800,0.35994497
9900,0.36112878
10000,0.36009303
